********************************************************************************
DFS with restart
   n      goals      nodes     time goals/sec
********************************************************************************
DFS with restart
   n      goals      nodes     time goals/sec
DFS with restart
   n      goals      nodes     time goals/sec
   8         23          0    0.003       23
   9          8          0    0.001        8
  10         10          0    0.001       10
  11         20          0    0.003       20
  12         13          0    0.001       13
  13         60          0    0.006       60
  14         45          0    0.004       45
  15         20          0    0.002       20
  16         31          0    0.003       31
  17         25          0    0.003       25
  18         30          0    0.005       30
  19         17          0    0.004       17
  20         63          0    0.011       63
  21         22          0    0.005       22
  22         70          0    0.012       70
  23         29          0    0.005       29
  24         27          0    0.006       27
  25         27          0    0.004       27
  26         42          0    0.008       42
  27         25          0    0.005       25
  28         34          0    0.007       34
  29        156          0    0.033      156
  30         41          0    0.009       41
  31         66          0    0.014       66
  32        206          0    0.046      206
  33        158          0    0.038      158
  34        178          0    0.044      178
  35         33          0    0.011       33
  36         80          0    0.021       80
  37         69          0    0.019       69
  38         85          0    0.021       85
  39         43          0    0.010       43
  40        140          0    0.043      140
  41         52          0    0.016       52
  42         43          0    0.013       43
  43        204          0    0.062      204
  44         40          0    0.013       40
  45         85          0    0.025       85
  46         48          0    0.015       48
  47        332          0    0.115      332
  48         44          0    0.014       44
  49         42          0    0.015       42
  50         67          0    0.025       67
  51         66          0    0.026       66
  52        187          0    0.070      187
  53         64          0    0.025       64
  54         68          0    0.028       68
  55        254          0    0.087      254
  56        146          0    0.058      146
  57        147          0    0.055      147
  58        115          0    0.047      115
  59        205          0    0.079      205
  60        291          0    0.125      291
  61        124          0    0.057      124
  62         83          0    0.032       83
  63         59          0    0.038       59
  64         59          0    0.024       59
  65         85          0    0.041       85
  66         82          0    0.040       82
  67        462          0    0.194      462
  68        111          0    0.060      111
  69        131          0    0.066      131
  70        208          0    0.104      208
  71         98          0    0.054       98
  72         72          0    0.042       72
  73        357          0    0.186      357
  74         75          0    0.042       75
  75        122          0    0.065      122
  76        749          0    0.437      749
  77        225          0    0.118      225
  78        104          0    0.069      104
  79        282          0    0.160      282
  80        387          0    0.249      387
  81        869          0    0.546      869
  82        633          0    0.354      633
  83        476          0    0.298      476
  84        106          0    0.074      106
********************************************************************************
DFS with restart
   n      goals      nodes     time goals/sec
   8         19          0    0.002     8148
   9         12          0    0.001    12739
  10          7          0    0.001    11215
  11         22          0    0.002    12843
  12         18          0    0.002    10465
  13         44          0    0.004    10554
  14         20          0    0.002    10466
  15         18          0    0.002     9454
  16         41          0    0.005     8819
  17         76          0    0.013     5832
  18         12          0    0.003     4072
  19         41          0    0.007     6234
  20         35          0    0.006     5459
  21         50          0    0.008     6010
  22         44          0    0.010     4338
  23         22          0    0.006     3856
  24         19          0    0.004     4689
  25         22          0    0.004     5285
  26         40          0    0.007     5574
  27         32          0    0.006     5483
  28         23          0    0.004     5719
  29         51          0    0.010     5094
  30        140          0    0.033     4260
  31         25          0    0.005     4663
  32         33          0    0.006     5267
  33         55          0    0.015     3670
  34         63          0    0.018     3438
  35         29          0    0.006     4696
  36        200          0    0.056     3582
  37        258          0    0.065     3996
  38         43          0    0.013     3258
  39         44          0    0.014     3171
  40        214          0    0.063     3403
  41         39          0    0.011     3698
  42         39          0    0.010     3841
  43         73          0    0.026     2837
  44         49          0    0.017     2961
  45         41          0    0.012     3291
  46         42          0    0.020     2096
  47         42          0    0.013     3307
  48        224          0    0.086     2598
  49        151          0    0.048     3168
  50         66          0    0.021     3188
  51         68          0    0.030     2248
  52         90          0    0.027     3358
  53        145          0    0.064     2275
  54         47          0    0.020     2334
  55         71          0    0.032     2202
  56         71          0    0.024     2997
  57         75          0    0.030     2524
  58        278          0    0.105     2642
  59         57          0    0.028     2057
  60         64          0    0.027     2367
  61       1245          0    0.533     2336
  62         59          0    0.023     2584
  63        245          0    0.103     2382
  64         71          0    0.039     1840
  65        326          0    0.137     2380
  66         59          0    0.028     2077
  67         84          0    0.040     2100
  68         60          0    0.026     2281
  69        415          0    0.201     2063
  70        343          0    0.166     2060
  71         67          0    0.042     1612
  72        188          0    0.103     1822
  73        345          0    0.158     2188
  74         87          0    0.042     2093
  75        184          0    0.093     1975
  76         91          0    0.054     1688
  77         80          0    0.052     1546
  78        409          0    0.208     1968
  79         94          0    0.053     1762
  80         82          0    0.050     1652
  81         76          0    0.054     1399
  82        800          0    0.481     1663
  83        101          0    0.073     1387
  84        105          0    0.069     1512
  85        737          0    0.448     1644
  86        213          0    0.133     1599
  87         94          0    0.063     1486
  88       1546          0    0.964     1604
  89        636          0    0.435     1463
  90         86          0    0.065     1323
  91        146          0    0.117     1244
  92       1155          0    0.828     1395
  93       1173          0    0.789     1487
  94        465          0    0.365     1274
  95       1961          0    1.333     1471
  96        118          0    0.088     1347
  97         97          0    0.082     1184
  98        862          0    0.647     1333
  99        101          0    0.086     1172
 100        501          0    0.340     1472
 101       1038          0    0.770     1347
 102        103          0    0.093     1106
 103        182          0    0.129     1406
 104        127          0    0.094     1350
 105        930          0    0.768     1211
 106        169          0    0.133     1272
 107        103          0    0.110      936
 108        148          0    0.118     1254
 109        544          0    0.406     1341
 110       1801          0    1.441     1249
 111        109          0    0.106     1031
 112        156          0    0.134     1160
 113       1188          0    1.003     1185
 114        546          0    0.441     1238
 115        114          0    0.110     1034
 116        106          0    0.106      999
 117        118          0    0.116     1021
 118       1481          0    1.416     1046
 119        578          0    0.512     1128
 120       2439          0    2.276     1072
 121        695          0    0.554     1255
 122       1382          0    1.462      945
 123        407          0    0.424      961
 124        218          0    0.237      920
 125       1109          0    1.318      842
 126        632          0    0.657      962
 127       1098          0    1.209      908
 128        619          0    0.751      824
 129       1118          0    1.112     1005
 130       1188          0    2.418      491
********************************************************************************
DFS with restart
   n      goals      nodes     time goals/sec
********************************************************************************
DFS with restart
   n      goals      nodes     time goals/sec
   8          9          0    0.001     7972
   9         12          0    0.001    12258
  10         18          0    0.003     6837
  11         12          0    0.001    10195
  12         38          0    0.005     7879
  13          9          0    0.002     4792
  14         13          0    0.002     7182
  15         11          0    0.002     5708
  16         47          0    0.006     7744
  17         26          0    0.003     8725
  18         26          0    0.003     8401
  19         20          0    0.002     8241
  20        108          0    0.019     5805
  21         38          0    0.006     5971
  22         46          0    0.007     6406
  23         18          0    0.003     6640
  24         62          0    0.011     5482
  25         21          0    0.003     6031
  26         19          0    0.004     5255
  27         28          0    0.005     6000
  28         40          0    0.010     3930
  29         73          0    0.013     5701
  30        143          0    0.034     4207
  31         46          0    0.010     4618
  32         86          0    0.017     4983
  33         76          0    0.022     3479
  34         67          0    0.016     4250
  35         51          0    0.013     3983
  36         40          0    0.011     3750
  37         33          0    0.008     4266
  38         34          0    0.009     3782
  39         36          0    0.010     3768
  40        104          0    0.027     3821
  41         70          0    0.017     4006
  42         88          0    0.027     3303
  43         87          0    0.028     3146
  44        145          0    0.044     3265
  45         67          0    0.022     2996
  46        116          0    0.040     2887
  47         70          0    0.022     3125
  48         53          0    0.017     3162
  49         44          0    0.014     3214
  50         59          0    0.018     3309
  51        440          0    0.155     2843
  52        301          0    0.112     2687
  53        252          0    0.089     2819
  54        150          0    0.061     2475
  55         64          0    0.021     3115
  56        195          0    0.066     2940
  57         72          0    0.027     2684
  58         99          0    0.040     2476
  59        511          0    0.194     2631
  60         71          0    0.028     2558
  61        348          0    0.149     2334
  62        425          0    0.191     2222
  63        302          0    0.139     2173
  64        581          0    0.265     2189
  65        153          0    0.070     2200
  66        318          0    0.162     1960
  67        471          0    0.207     2274
  68         80          0    0.043     1858
  69         79          0    0.037     2119
  70         83          0    0.044     1867
********************************************************************************
DFS with restart
   n      goals      nodes     time goals/sec
********************************************************************************
DFS with restart
   n      goals      nodes     time goals/sec
********************************************************************************
DFS with restart
   n      goals      nodes     time goals/sec
********************************************************************************
DFS with restart
   n      goals      nodes     time goals/sec
********************************************************************************
DFS with restart
   n      goals      nodes     time goals/sec
********************************************************************************
DFS with restart
   n      goals      nodes     time goals/sec
********************************************************************************
DFS with restart
   n      goals      nodes     time goals/sec
********************************************************************************
DFS with restart
   n      goals      nodes     time goals/sec
********************************************************************************
DFS with restart
   n      goals      nodes     time goals/sec
********************************************************************************
DFS with restart
   n      goals      nodes     time goals/sec
********************************************************************************
DFS with restart
   n      goals      nodes     time goals/sec
********************************************************************************
DFS with restart
   n      goals      nodes     time goals/sec
********************************************************************************
DFS with restart
   n      goals      nodes     time goals/sec
********************************************************************************
DFS with restart
   n      goals      nodes     time goals/sec
********************************************************************************
DFS with restart
   n      goals      nodes     time goals/sec
********************************************************************************
DFS with restart
   n      goals      nodes     time goals/sec
********************************************************************************
DFS with restart
   n      goals      nodes     time goals/sec
   9         62          0    0.380      163
********************************************************************************
DFS with restart
   n      goals      nodes     time goals/sec
   9       1210          0   12.564       96
********************************************************************************
DFS with restart
   n      goals      nodes     time goals/sec
********************************************************************************
DFS with restart
   n      goals      nodes     time goals/sec
********************************************************************************
DFS with restart
   n      goals      nodes     time goals/sec
********************************************************************************
DFS with restart
   n      goals      nodes     time goals/sec
********************************************************************************
DFS with restart
   n      goals      nodes     time goals/sec
   9         67          0    0.409      164
********************************************************************************
DFS with restart
   n      goals      nodes     time goals/sec
   9         71          0    0.606      117
********************************************************************************
DFS with restart
   n      goals      nodes     time goals/sec
   9         47          0    0.317      148
********************************************************************************
DFS with restart
   n      goals      nodes     time goals/sec
   9         59          0    0.384      154
********************************************************************************
DFS with restart
   n      goals      nodes     time goals/sec
